rated_ofcr,rater,snr_rater,rtr_rater_box,snr_rater_box,oer_id,eval_strt_dt,eval_thru_dt
606,RTR_01_02_1,SNR_01_02,30,30,41,2011-09-30,2012-10-01
922,RTR_01_02_1,SNR_01_02,40,40,36,2011-09-30,2012-10-01
946,RTR_01_02_1,SNR_01_02,30,30,42,2011-09-30,2012-10-01
977,RTR_01_02_1,SNR_01_02,50,60,38,2011-09-30,2012-10-01
99,RTR_01_02_2,SNR_01_02,70,60,46,2011-09-30,2012-10-01
471,RTR_01_02_2,SNR_01_02,70,50,49,2011-09-30,2012-10-01
596,RTR_01_02_2,SNR_01_02,70,40,48,2011-09-30,2012-10-01
614,RTR_01_02_2,SNR_01_02,70,30,45,2011-09-30,2012-10-01
759,RTR_01_02_2,SNR_01_02,30,60,47,2011-09-30,2012-10-01
774,RTR_01_02_2,SNR_01_02,60,40,43,2011-09-30,2012-10-01
942,RTR_01_02_2,SNR_01_02,50,50,44,2011-09-30,2012-10-01
26,RTR_01_02_3,SNR_01_02,60,70,50,2011-09-30,2012-10-01
240,RTR_01_02_3,SNR_01_02,40,60,52,2011-09-30,2012-10-01
253,RTR_01_02_3,SNR_01_02,30,30,55,2011-09-30,2012-10-01
515,RTR_01_02_3,SNR_01_02,40,70,51,2011-09-30,2012-10-01
624,RTR_01_02_3,SNR_01_02,50,40,54,2011-09-30,2012-10-01
663,RTR_01_02_3,SNR_01_02,40,30,56,2011-09-30,2012-10-01
981,RTR_01_02_3,SNR_01_02,60,40,53,2011-09-30,2012-10-01
172,RTR_01_02_4,SNR_01_02,30,60,57,2011-09-30,2012-10-01
409,RTR_01_02_4,SNR_01_02,60,60,58,2011-09-30,2012-10-01
428,RTR_01_02_4,SNR_01_02,30,50,62,2011-09-30,2012-10-01
458,RTR_01_02_4,SNR_01_02,70,30,63,2011-09-30,2012-10-01
593,RTR_01_02_4,SNR_01_02,50,30,60,2011-09-30,2012-10-01
702,RTR_01_02_4,SNR_01_02,30,60,61,2011-09-30,2012-10-01
994,RTR_01_02_4,SNR_01_02,40,70,59,2011-09-30,2012-10-01
152,RTR_01_02_5,SNR_01_02,50,30,65,2011-09-30,2012-10-01
251,RTR_01_02_5,SNR_01_02,50,60,67,2011-09-30,2012-10-01
325,RTR_01_02_5,SNR_01_02,50,40,69,2011-09-30,2012-10-01
440,RTR_01_02_5,SNR_01_02,60,70,70,2011-09-30,2012-10-01
455,RTR_01_02_5,SNR_01_02,30,70,64,2011-09-30,2012-10-01
757,RTR_01_02_5,SNR_01_02,70,70,66,2011-09-30,2012-10-01
905,RTR_01_02_5,SNR_01_02,40,30,68,2011-09-30,2012-10-01
239,RTR_01_03_1,SNR_01_03,40,70,72,2011-09-30,2012-10-01
344,RTR_01_03_1,SNR_01_03,70,50,77,2011-09-30,2012-10-01
469,RTR_01_03_1,SNR_01_03,50,60,76,2011-09-30,2012-10-01
499,RTR_01_03_1,SNR_01_03,40,60,73,2011-09-30,2012-10-01
630,RTR_01_03_1,SNR_01_03,60,60,75,2011-09-30,2012-10-01
651,RTR_01_03_1,SNR_01_03,30,50,71,2011-09-30,2012-10-01
807,RTR_01_03_1,SNR_01_03,50,40,74,2011-09-30,2012-10-01
347,RTR_01_03_2,SNR_01_03,70,40,81,2011-09-30,2012-10-01
382,RTR_01_03_2,SNR_01_03,60,30,82,2011-09-30,2012-10-01
494,RTR_01_03_2,SNR_01_03,70,30,83,2011-09-30,2012-10-01
653,RTR_01_03_2,SNR_01_03,50,30,80,2011-09-30,2012-10-01
665,RTR_01_03_2,SNR_01_03,50,30,78,2011-09-30,2012-10-01
672,RTR_01_03_2,SNR_01_03,60,50,79,2011-09-30,2012-10-01
709,RTR_01_03_2,SNR_01_03,30,70,84,2011-09-30,2012-10-01
136,RTR_01_03_3,SNR_01_03,60,60,89,2011-09-30,2012-10-01
233,RTR_01_03_3,SNR_01_03,50,30,90,2011-09-30,2012-10-01
514,RTR_01_03_3,SNR_01_03,70,40,85,2011-09-30,2012-10-01
564,RTR_01_03_3,SNR_01_03,50,60,86,2011-09-30,2012-10-01
782,RTR_01_03_3,SNR_01_03,50,60,88,2011-09-30,2012-10-01
858,RTR_01_03_3,SNR_01_03,70,40,87,2011-09-30,2012-10-01
932,RTR_01_03_3,SNR_01_03,70,70,91,2011-09-30,2012-10-01
37,RTR_01_03_4,SNR_01_03,40,60,95,2011-09-30,2012-10-01
117,RTR_01_03_4,SNR_01_03,40,60,97,2011-09-30,2012-10-01
427,RTR_01_03_4,SNR_01_03,60,30,92,2011-09-30,2012-10-01
435,RTR_01_03_4,SNR_01_03,50,50,98,2011-09-30,2012-10-01
546,RTR_01_03_4,SNR_01_03,70,40,96,2011-09-30,2012-10-01
661,RTR_01_03_4,SNR_01_03,40,60,93,2011-09-30,2012-10-01
996,RTR_01_03_4,SNR_01_03,30,70,94,2011-09-30,2012-10-01
39,RTR_01_03_5,SNR_01_03,70,40,104,2011-09-30,2012-10-01
153,RTR_01_03_5,SNR_01_03,60,40,103,2011-09-30,2012-10-01
181,RTR_01_03_5,SNR_01_03,30,30,102,2011-09-30,2012-10-01
391,RTR_01_03_5,SNR_01_03,60,70,99,2011-09-30,2012-10-01
752,RTR_01_03_5,SNR_01_03,50,30,100,2011-09-30,2012-10-01
798,RTR_01_03_5,SNR_01_03,40,40,101,2011-09-30,2012-10-01
947,RTR_01_03_5,SNR_01_03,30,60,105,2011-09-30,2012-10-01
84,RTR_01_04_1,SNR_01_04,30,40,112,2011-09-30,2012-10-01
143,RTR_01_04_1,SNR_01_04,40,30,109,2011-09-30,2012-10-01
167,RTR_01_04_1,SNR_01_04,50,70,110,2011-09-30,2012-10-01
559,RTR_01_04_1,SNR_01_04,50,50,108,2011-09-30,2012-10-01
711,RTR_01_04_1,SNR_01_04,70,40,106,2011-09-30,2012-10-01
790,RTR_01_04_1,SNR_01_04,40,30,107,2011-09-30,2012-10-01
991,RTR_01_04_1,SNR_01_04,60,50,111,2011-09-30,2012-10-01
126,RTR_01_04_2,SNR_01_04,30,40,117,2011-09-30,2012-10-01
231,RTR_01_04_2,SNR_01_04,70,70,114,2011-09-30,2012-10-01
414,RTR_01_04_2,SNR_01_04,70,30,116,2011-09-30,2012-10-01
727,RTR_01_04_2,SNR_01_04,50,30,118,2011-09-30,2012-10-01
866,RTR_01_04_2,SNR_01_04,70,60,119,2011-09-30,2012-10-01
886,RTR_01_04_2,SNR_01_04,70,70,115,2011-09-30,2012-10-01
915,RTR_01_04_2,SNR_01_04,40,60,113,2011-09-30,2012-10-01
80,RTR_01_04_3,SNR_01_04,60,40,123,2011-09-30,2012-10-01
97,RTR_01_04_3,SNR_01_04,40,30,121,2011-09-30,2012-10-01
180,RTR_01_04_3,SNR_01_04,40,70,126,2011-09-30,2012-10-01
422,RTR_01_04_3,SNR_01_04,60,60,125,2011-09-30,2012-10-01
580,RTR_01_04_3,SNR_01_04,40,50,124,2011-09-30,2012-10-01
639,RTR_01_04_3,SNR_01_04,50,30,120,2011-09-30,2012-10-01
765,RTR_01_04_3,SNR_01_04,70,50,122,2011-09-30,2012-10-01
249,RTR_01_04_4,SNR_01_04,30,70,127,2011-09-30,2012-10-01
303,RTR_01_04_4,SNR_01_04,40,50,133,2011-09-30,2012-10-01
436,RTR_01_04_4,SNR_01_04,50,50,130,2011-09-30,2012-10-01
583,RTR_01_04_4,SNR_01_04,70,70,132,2011-09-30,2012-10-01
772,RTR_01_04_4,SNR_01_04,70,30,129,2011-09-30,2012-10-01
861,RTR_01_04_4,SNR_01_04,40,60,131,2011-09-30,2012-10-01
890,RTR_01_04_4,SNR_01_04,30,40,128,2011-09-30,2012-10-01
132,RTR_01_04_5,SNR_01_04,30,70,135,2011-09-30,2012-10-01
200,RTR_01_04_5,SNR_01_04,70,60,136,2011-09-30,2012-10-01
899,RTR_01_04_5,SNR_01_04,50,50,138,2011-09-30,2012-10-01
901,RTR_01_04_5,SNR_01_04,30,70,140,2011-09-30,2012-10-01
935,RTR_01_04_5,SNR_01_04,50,30,139,2011-09-30,2012-10-01
988,RTR_01_04_5,SNR_01_04,40,40,134,2011-09-30,2012-10-01
997,RTR_01_04_5,SNR_01_04,50,50,137,2011-09-30,2012-10-01
144,RTR_01_05_1,SNR_01_05,30,50,142,2011-09-30,2012-10-01
151,RTR_01_05_1,SNR_01_05,50,70,141,2011-09-30,2012-10-01
223,RTR_01_05_1,SNR_01_05,50,50,147,2011-09-30,2012-10-01
372,RTR_01_05_1,SNR_01_05,70,40,145,2011-09-30,2012-10-01
475,RTR_01_05_1,SNR_01_05,30,30,144,2011-09-30,2012-10-01
552,RTR_01_05_1,SNR_01_05,60,50,146,2011-09-30,2012-10-01
704,RTR_01_05_1,SNR_01_05,40,40,143,2011-09-30,2012-10-01
307,RTR_01_05_2,SNR_01_05,70,60,149,2011-09-30,2012-10-01
341,RTR_01_05_2,SNR_01_05,30,40,152,2011-09-30,2012-10-01
751,RTR_01_05_2,SNR_01_05,50,30,150,2011-09-30,2012-10-01
768,RTR_01_05_2,SNR_01_05,60,60,153,2011-09-30,2012-10-01
831,RTR_01_05_2,SNR_01_05,60,60,154,2011-09-30,2012-10-01
836,RTR_01_05_2,SNR_01_05,30,70,148,2011-09-30,2012-10-01
964,RTR_01_05_2,SNR_01_05,70,40,151,2011-09-30,2012-10-01
67,RTR_01_05_3,SNR_01_05,30,70,157,2011-09-30,2012-10-01
298,RTR_01_05_3,SNR_01_05,40,30,158,2011-09-30,2012-10-01
388,RTR_01_05_3,SNR_01_05,50,60,156,2011-09-30,2012-10-01
815,RTR_01_05_3,SNR_01_05,30,60,160,2011-09-30,2012-10-01
882,RTR_01_05_3,SNR_01_05,50,30,159,2011-09-30,2012-10-01
893,RTR_01_05_3,SNR_01_05,40,70,161,2011-09-30,2012-10-01
897,RTR_01_05_3,SNR_01_05,40,70,155,2011-09-30,2012-10-01
194,RTR_01_05_4,SNR_01_05,50,50,164,2011-09-30,2012-10-01
237,RTR_01_05_4,SNR_01_05,30,60,166,2011-09-30,2012-10-01
254,RTR_01_05_4,SNR_01_05,70,40,165,2011-09-30,2012-10-01
675,RTR_01_05_4,SNR_01_05,50,70,168,2011-09-30,2012-10-01
725,RTR_01_05_4,SNR_01_05,40,60,162,2011-09-30,2012-10-01
892,RTR_01_05_4,SNR_01_05,70,30,167,2011-09-30,2012-10-01
992,RTR_01_05_4,SNR_01_05,50,60,163,2011-09-30,2012-10-01
22,RTR_01_05_5,SNR_01_05,40,60,172,2011-09-30,2012-10-01
130,RTR_01_05_5,SNR_01_05,40,70,171,2011-09-30,2012-10-01
316,RTR_01_05_5,SNR_01_05,50,60,170,2011-09-30,2012-10-01
374,RTR_01_05_5,SNR_01_05,60,50,174,2011-09-30,2012-10-01
599,RTR_01_05_5,SNR_01_05,70,50,175,2011-09-30,2012-10-01
674,RTR_01_05_5,SNR_01_05,50,50,173,2011-09-30,2012-10-01
747,RTR_01_05_5,SNR_01_05,60,70,169,2011-09-30,2012-10-01
36,RTR_01_06_1,SNR_01_06,60,60,179,2011-09-30,2012-10-01
87,RTR_01_06_1,SNR_01_06,60,70,182,2011-09-30,2012-10-01
131,RTR_01_06_1,SNR_01_06,50,50,177,2011-09-30,2012-10-01
204,RTR_01_06_1,SNR_01_06,40,30,181,2011-09-30,2012-10-01
545,RTR_01_06_1,SNR_01_06,30,30,178,2011-09-30,2012-10-01
854,RTR_01_06_1,SNR_01_06,60,40,176,2011-09-30,2012-10-01
868,RTR_01_06_1,SNR_01_06,60,30,180,2011-09-30,2012-10-01
147,RTR_01_06_2,SNR_01_06,40,60,183,2011-09-30,2012-10-01
219,RTR_01_06_2,SNR_01_06,60,70,186,2011-09-30,2012-10-01
225,RTR_01_06_2,SNR_01_06,30,40,185,2011-09-30,2012-10-01
418,RTR_01_06_2,SNR_01_06,60,70,188,2011-09-30,2012-10-01
434,RTR_01_06_2,SNR_01_06,30,40,184,2011-09-30,2012-10-01
698,RTR_01_06_2,SNR_01_06,60,40,189,2011-09-30,2012-10-01
961,RTR_01_06_2,SNR_01_06,40,50,187,2011-09-30,2012-10-01
7,RTR_01_06_3,SNR_01_06,70,70,195,2011-09-30,2012-10-01
89,RTR_01_06_3,SNR_01_06,70,40,191,2011-09-30,2012-10-01
269,RTR_01_06_3,SNR_01_06,60,50,194,2011-09-30,2012-10-01
446,RTR_01_06_3,SNR_01_06,50,70,193,2011-09-30,2012-10-01
553,RTR_01_06_3,SNR_01_06,60,40,190,2011-09-30,2012-10-01
625,RTR_01_06_3,SNR_01_06,60,30,192,2011-09-30,2012-10-01
631,RTR_01_06_3,SNR_01_06,40,50,196,2011-09-30,2012-10-01
12,RTR_01_06_4,SNR_01_06,70,70,200,2011-09-30,2012-10-01
198,RTR_01_06_4,SNR_01_06,40,40,198,2011-09-30,2012-10-01
357,RTR_01_06_4,SNR_01_06,60,50,202,2011-09-30,2012-10-01
389,RTR_01_06_4,SNR_01_06,50,40,203,2011-09-30,2012-10-01
806,RTR_01_06_4,SNR_01_06,50,60,197,2011-09-30,2012-10-01
912,RTR_01_06_4,SNR_01_06,60,60,201,2011-09-30,2012-10-01
951,RTR_01_06_4,SNR_01_06,70,70,199,2011-09-30,2012-10-01
30,RTR_01_06_5,SNR_01_06,30,30,208,2011-09-30,2012-10-01
116,RTR_01_06_5,SNR_01_06,70,70,207,2011-09-30,2012-10-01
121,RTR_01_06_5,SNR_01_06,50,40,206,2011-09-30,2012-10-01
282,RTR_01_06_5,SNR_01_06,60,40,204,2011-09-30,2012-10-01
308,RTR_01_06_5,SNR_01_06,70,30,210,2011-09-30,2012-10-01
368,RTR_01_06_5,SNR_01_06,40,60,209,2011-09-30,2012-10-01
512,RTR_01_06_5,SNR_01_06,40,50,205,2011-09-30,2012-10-01
10,RTR_01_07_1,SNR_01_07,40,70,212,2011-09-30,2012-10-01
92,RTR_01_07_1,SNR_01_07,30,30,216,2011-09-30,2012-10-01
186,RTR_01_07_1,SNR_01_07,50,60,214,2011-09-30,2012-10-01
207,RTR_01_07_1,SNR_01_07,60,30,211,2011-09-30,2012-10-01
320,RTR_01_07_1,SNR_01_07,30,30,213,2011-09-30,2012-10-01
809,RTR_01_07_1,SNR_01_07,70,70,215,2011-09-30,2012-10-01
837,RTR_01_07_1,SNR_01_07,60,40,217,2011-09-30,2012-10-01
127,RTR_01_07_2,SNR_01_07,50,50,221,2011-09-30,2012-10-01
155,RTR_01_07_2,SNR_01_07,30,50,220,2011-09-30,2012-10-01
364,RTR_01_07_2,SNR_01_07,50,30,224,2011-09-30,2012-10-01
456,RTR_01_07_2,SNR_01_07,70,70,223,2011-09-30,2012-10-01
480,RTR_01_07_2,SNR_01_07,30,70,219,2011-09-30,2012-10-01
816,RTR_01_07_2,SNR_01_07,70,60,218,2011-09-30,2012-10-01
910,RTR_01_07_2,SNR_01_07,60,60,222,2011-09-30,2012-10-01
44,RTR_01_07_3,SNR_01_07,60,40,228,2011-09-30,2012-10-01
244,RTR_01_07_3,SNR_01_07,60,70,229,2011-09-30,2012-10-01
279,RTR_01_07_3,SNR_01_07,40,50,226,2011-09-30,2012-10-01
322,RTR_01_07_3,SNR_01_07,70,50,230,2011-09-30,2012-10-01
425,RTR_01_07_3,SNR_01_07,60,70,225,2011-09-30,2012-10-01
568,RTR_01_07_3,SNR_01_07,50,30,227,2011-09-30,2012-10-01
884,RTR_01_07_3,SNR_01_07,40,60,231,2011-09-30,2012-10-01
232,RTR_01_07_4,SNR_01_07,70,30,234,2011-09-30,2012-10-01
305,RTR_01_07_4,SNR_01_07,70,50,232,2011-09-30,2012-10-01
329,RTR_01_07_4,SNR_01_07,60,30,238,2011-09-30,2012-10-01
551,RTR_01_07_4,SNR_01_07,30,50,235,2011-09-30,2012-10-01
718,RTR_01_07_4,SNR_01_07,70,30,233,2011-09-30,2012-10-01
777,RTR_01_07_4,SNR_01_07,30,50,237,2011-09-30,2012-10-01
819,RTR_01_07_4,SNR_01_07,30,30,236,2011-09-30,2012-10-01
108,RTR_01_07_5,SNR_01_07,60,40,244,2011-09-30,2012-10-01
202,RTR_01_07_5,SNR_01_07,70,70,241,2011-09-30,2012-10-01
274,RTR_01_07_5,SNR_01_07,60,50,245,2011-09-30,2012-10-01
351,RTR_01_07_5,SNR_01_07,60,70,239,2011-09-30,2012-10-01
369,RTR_01_07_5,SNR_01_07,50,70,242,2011-09-30,2012-10-01
850,RTR_01_07_5,SNR_01_07,30,30,240,2011-09-30,2012-10-01
936,RTR_01_07_5,SNR_01_07,30,40,243,2011-09-30,2012-10-01
246,RTR_01_08_1,SNR_01_08,30,30,249,2011-09-30,2012-10-01
332,RTR_01_08_1,SNR_01_08,60,50,246,2011-09-30,2012-10-01
410,RTR_01_08_1,SNR_01_08,40,40,247,2011-09-30,2012-10-01
449,RTR_01_08_1,SNR_01_08,70,40,251,2011-09-30,2012-10-01
632,RTR_01_08_1,SNR_01_08,40,60,248,2011-09-30,2012-10-01
784,RTR_01_08_1,SNR_01_08,30,30,250,2011-09-30,2012-10-01
889,RTR_01_08_1,SNR_01_08,70,30,252,2011-09-30,2012-10-01
31,RTR_01_08_2,SNR_01_08,70,70,255,2011-09-30,2012-10-01
170,RTR_01_08_2,SNR_01_08,60,50,253,2011-09-30,2012-10-01
242,RTR_01_08_2,SNR_01_08,50,70,259,2011-09-30,2012-10-01
543,RTR_01_08_2,SNR_01_08,30,40,256,2011-09-30,2012-10-01
613,RTR_01_08_2,SNR_01_08,40,70,254,2011-09-30,2012-10-01
647,RTR_01_08_2,SNR_01_08,60,40,257,2011-09-30,2012-10-01
814,RTR_01_08_2,SNR_01_08,60,50,258,2011-09-30,2012-10-01
120,RTR_01_08_3,SNR_01_08,30,60,261,2011-09-30,2012-10-01
361,RTR_01_08_3,SNR_01_08,70,50,264,2011-09-30,2012-10-01
396,RTR_01_08_3,SNR_01_08,60,30,260,2011-09-30,2012-10-01
615,RTR_01_08_3,SNR_01_08,50,40,266,2011-09-30,2012-10-01
646,RTR_01_08_3,SNR_01_08,40,40,265,2011-09-30,2012-10-01
679,RTR_01_08_3,SNR_01_08,50,40,262,2011-09-30,2012-10-01
903,RTR_01_08_3,SNR_01_08,50,60,263,2011-09-30,2012-10-01
430,RTR_01_08_4,SNR_01_08,30,40,273,2011-09-30,2012-10-01
528,RTR_01_08_4,SNR_01_08,60,30,270,2011-09-30,2012-10-01
533,RTR_01_08_4,SNR_01_08,50,60,267,2011-09-30,2012-10-01
582,RTR_01_08_4,SNR_01_08,50,70,272,2011-09-30,2012-10-01
658,RTR_01_08_4,SNR_01_08,70,50,271,2011-09-30,2012-10-01
713,RTR_01_08_4,SNR_01_08,40,70,269,2011-09-30,2012-10-01
800,RTR_01_08_4,SNR_01_08,30,30,268,2011-09-30,2012-10-01
1,RTR_01_08_5,SNR_01_08,30,40,276,2011-09-30,2012-10-01
29,RTR_01_08_5,SNR_01_08,40,40,279,2011-09-30,2012-10-01
157,RTR_01_08_5,SNR_01_08,30,70,278,2011-09-30,2012-10-01
563,RTR_01_08_5,SNR_01_08,50,30,274,2011-09-30,2012-10-01
678,RTR_01_08_5,SNR_01_08,50,30,277,2011-09-30,2012-10-01
769,RTR_01_08_5,SNR_01_08,30,40,280,2011-09-30,2012-10-01
794,RTR_01_08_5,SNR_01_08,60,40,275,2011-09-30,2012-10-01
275,RTR_01_09_1,SNR_01_09,70,50,287,2011-09-30,2012-10-01
502,RTR_01_09_1,SNR_01_09,30,30,284,2011-09-30,2012-10-01
571,RTR_01_09_1,SNR_01_09,70,30,283,2011-09-30,2012-10-01
585,RTR_01_09_1,SNR_01_09,70,60,286,2011-09-30,2012-10-01
589,RTR_01_09_1,SNR_01_09,40,70,282,2011-09-30,2012-10-01
763,RTR_01_09_1,SNR_01_09,40,60,281,2011-09-30,2012-10-01
945,RTR_01_09_1,SNR_01_09,60,30,285,2011-09-30,2012-10-01
72,RTR_01_09_2,SNR_01_09,70,50,290,2011-09-30,2012-10-01
78,RTR_01_09_2,SNR_01_09,70,50,292,2011-09-30,2012-10-01
102,RTR_01_09_2,SNR_01_09,50,40,289,2011-09-30,2012-10-01
465,RTR_01_09_2,SNR_01_09,70,30,291,2011-09-30,2012-10-01
888,RTR_01_09_2,SNR_01_09,70,30,288,2011-09-30,2012-10-01
938,RTR_01_09_2,SNR_01_09,40,40,294,2011-09-30,2012-10-01
941,RTR_01_09_2,SNR_01_09,50,70,293,2011-09-30,2012-10-01
93,RTR_01_09_3,SNR_01_09,50,40,298,2011-09-30,2012-10-01
260,RTR_01_09_3,SNR_01_09,60,70,300,2011-09-30,2012-10-01
353,RTR_01_09_3,SNR_01_09,40,30,296,2011-09-30,2012-10-01
395,RTR_01_09_3,SNR_01_09,50,50,299,2011-09-30,2012-10-01
513,RTR_01_09_3,SNR_01_09,50,30,295,2011-09-30,2012-10-01
694,RTR_01_09_3,SNR_01_09,30,70,297,2011-09-30,2012-10-01
869,RTR_01_09_3,SNR_01_09,70,40,301,2011-09-30,2012-10-01
165,RTR_01_09_4,SNR_01_09,50,50,303,2011-09-30,2012-10-01
245,RTR_01_09_4,SNR_01_09,60,50,304,2011-09-30,2012-10-01
445,RTR_01_09_4,SNR_01_09,40,40,308,2011-09-30,2012-10-01
685,RTR_01_09_4,SNR_01_09,40,30,306,2011-09-30,2012-10-01
797,RTR_01_09_4,SNR_01_09,30,60,307,2011-09-30,2012-10-01
799,RTR_01_09_4,SNR_01_09,40,50,302,2011-09-30,2012-10-01
830,RTR_01_09_4,SNR_01_09,40,40,305,2011-09-30,2012-10-01
63,RTR_01_09_5,SNR_01_09,70,40,313,2011-09-30,2012-10-01
331,RTR_01_09_5,SNR_01_09,70,50,311,2011-09-30,2012-10-01
355,RTR_01_09_5,SNR_01_09,50,60,309,2011-09-30,2012-10-01
383,RTR_01_09_5,SNR_01_09,60,30,312,2011-09-30,2012-10-01
776,RTR_01_09_5,SNR_01_09,40,70,310,2011-09-30,2012-10-01
843,RTR_01_09_5,SNR_01_09,30,30,315,2011-09-30,2012-10-01
879,RTR_01_09_5,SNR_01_09,70,50,314,2011-09-30,2012-10-01
45,RTR_01_10_1,SNR_01_10,50,30,319,2011-09-30,2012-10-01
164,RTR_01_10_1,SNR_01_10,60,40,320,2011-09-30,2012-10-01
337,RTR_01_10_1,SNR_01_10,70,50,318,2011-09-30,2012-10-01
345,RTR_01_10_1,SNR_01_10,60,50,316,2011-09-30,2012-10-01
746,RTR_01_10_1,SNR_01_10,30,60,317,2011-09-30,2012-10-01
891,RTR_01_10_1,SNR_01_10,70,40,321,2011-09-30,2012-10-01
937,RTR_01_10_1,SNR_01_10,50,40,322,2011-09-30,2012-10-01
13,RTR_01_10_2,SNR_01_10,50,70,327,2011-09-30,2012-10-01
57,RTR_01_10_2,SNR_01_10,40,30,328,2011-09-30,2012-10-01
134,RTR_01_10_2,SNR_01_10,70,50,329,2011-09-30,2012-10-01
154,RTR_01_10_2,SNR_01_10,30,60,323,2011-09-30,2012-10-01
214,RTR_01_10_2,SNR_01_10,70,70,325,2011-09-30,2012-10-01
220,RTR_01_10_2,SNR_01_10,50,50,324,2011-09-30,2012-10-01
592,RTR_01_10_2,SNR_01_10,70,30,326,2011-09-30,2012-10-01
289,RTR_01_10_3,SNR_01_10,40,70,335,2011-09-30,2012-10-01
306,RTR_01_10_3,SNR_01_10,60,50,331,2011-09-30,2012-10-01
327,RTR_01_10_3,SNR_01_10,30,50,336,2011-09-30,2012-10-01
335,RTR_01_10_3,SNR_01_10,70,40,334,2011-09-30,2012-10-01
573,RTR_01_10_3,SNR_01_10,50,70,330,2011-09-30,2012-10-01
786,RTR_01_10_3,SNR_01_10,30,60,333,2011-09-30,2012-10-01
956,RTR_01_10_3,SNR_01_10,40,50,332,2011-09-30,2012-10-01
226,RTR_01_10_4,SNR_01_10,50,60,337,2011-09-30,2012-10-01
381,RTR_01_10_4,SNR_01_10,30,50,340,2011-09-30,2012-10-01
421,RTR_01_10_4,SNR_01_10,40,30,343,2011-09-30,2012-10-01
577,RTR_01_10_4,SNR_01_10,40,60,339,2011-09-30,2012-10-01
708,RTR_01_10_4,SNR_01_10,30,60,338,2011-09-30,2012-10-01
804,RTR_01_10_4,SNR_01_10,30,30,342,2011-09-30,2012-10-01
999,RTR_01_10_4,SNR_01_10,50,40,341,2011-09-30,2012-10-01
300,RTR_01_10_5,SNR_01_10,70,50,344,2011-09-30,2012-10-01
403,RTR_01_10_5,SNR_01_10,30,50,349,2011-09-30,2012-10-01
448,RTR_01_10_5,SNR_01_10,70,70,345,2011-09-30,2012-10-01
537,RTR_01_10_5,SNR_01_10,70,70,350,2011-09-30,2012-10-01
