snpsht_dt,pid_pde,rater,snr_rater,rater_box,snr_rater_box
2017-04-01,00003,RTR_SNR_05_19_3,SNR_05_19,37,48
2017-07-01,00003,RTR_SNR_05_19_3,SNR_05_19,15,50
2012-10-01,00004,RTR_SNR_01_15_1,SNR_01_15,40,32
2013-01-01,00004,RTR_SNR_01_15_1,SNR_01_15,29,50
2013-04-01,00004,RTR_SNR_01_15_1,SNR_01_15,41,14
2013-07-01,00004,RTR_SNR_01_15_1,SNR_01_15,41,10
2013-10-01,00004,RTR_SNR_02_16_3,SNR_02_16,43,17
2014-01-01,00004,RTR_SNR_02_16_3,SNR_02_16,6,50
2014-04-01,00004,RTR_SNR_02_16_3,SNR_02_16,19,4
2014-07-01,00004,RTR_SNR_02_16_3,SNR_02_16,50,4
2014-10-01,00004,RTR_SNR_03_05_3,SNR_03_05,7,4
2015-01-01,00004,RTR_SNR_03_05_3,SNR_03_05,44,36
2015-04-01,00004,RTR_SNR_03_05_3,SNR_03_05,30,17
2015-07-01,00004,RTR_SNR_03_05_3,SNR_03_05,25,50
2015-10-01,00004,RTR_SNR_04_21_5,SNR_04_21,48,3
2016-01-01,00004,RTR_SNR_04_21_5,SNR_04_21,4,50
2016-04-01,00004,RTR_SNR_04_21_5,SNR_04_21,22,22
2016-07-01,00004,RTR_SNR_04_21_5,SNR_04_21,24,22
2016-10-01,00004,RTR_SNR_05_27_3,SNR_05_27,10,1
2017-01-01,00004,RTR_SNR_05_27_3,SNR_05_27,3,36
2017-04-01,00004,RTR_SNR_05_27_3,SNR_05_27,42,42
2017-07-01,00004,RTR_SNR_05_27_3,SNR_05_27,5,50
2012-10-01,00005,RTR_SNR_01_23_5,SNR_01_23,50,13
2013-01-01,00005,RTR_SNR_01_23_5,SNR_01_23,32,14
2013-04-01,00005,RTR_SNR_01_23_5,SNR_01_23,31,30
2013-07-01,00005,RTR_SNR_01_23_5,SNR_01_23,22,10
2013-10-01,00005,RTR_SNR_02_11_1,SNR_02_11,12,20
2014-01-01,00005,RTR_SNR_02_11_1,SNR_02_11,45,44
2014-04-01,00005,RTR_SNR_02_11_1,SNR_02_11,42,26
2014-07-01,00005,RTR_SNR_02_11_1,SNR_02_11,50,36
2014-10-01,00005,RTR_SNR_03_15_5,SNR_03_15,28,1
2015-01-01,00005,RTR_SNR_03_15_5,SNR_03_15,28,42
2015-04-01,00005,RTR_SNR_03_15_5,SNR_03_15,34,30
2015-07-01,00005,RTR_SNR_03_15_5,SNR_03_15,13,5
2015-10-01,00005,RTR_SNR_04_19_2,SNR_04_19,25,20
2016-01-01,00005,RTR_SNR_04_19_2,SNR_04_19,6,22
2016-04-01,00005,RTR_SNR_04_19_2,SNR_04_19,29,27
2016-07-01,00005,RTR_SNR_04_19_2,SNR_04_19,50,12
2016-10-01,00005,RTR_SNR_05_28_3,SNR_05_28,25,15
2017-01-01,00005,RTR_SNR_05_28_3,SNR_05_28,50,50
2017-04-01,00005,RTR_SNR_05_28_3,SNR_05_28,9,11
2017-07-01,00005,RTR_SNR_05_28_3,SNR_05_28,50,16
2012-10-01,00006,RTR_SNR_01_25_3,SNR_01_25,40,50
2013-01-01,00006,RTR_SNR_01_25_3,SNR_01_25,36,1
2013-04-01,00006,RTR_SNR_01_25_3,SNR_01_25,31,50
2013-07-01,00006,RTR_SNR_01_25_3,SNR_01_25,45,33
2013-10-01,00006,RTR_SNR_02_07_1,SNR_02_07,21,5
2014-01-01,00006,RTR_SNR_02_07_1,SNR_02_07,26,21
2014-04-01,00006,RTR_SNR_02_07_1,SNR_02_07,15,13
2014-07-01,00006,RTR_SNR_02_07_1,SNR_02_07,39,12
2014-10-01,00006,RTR_SNR_03_17_1,SNR_03_17,47,16
2015-01-01,00006,RTR_SNR_03_17_1,SNR_03_17,20,48
2015-04-01,00006,RTR_SNR_03_17_1,SNR_03_17,21,19
2015-07-01,00006,RTR_SNR_03_17_1,SNR_03_17,50,22
2015-10-01,00006,RTR_SNR_04_03_4,SNR_04_03,14,31
2016-01-01,00006,RTR_SNR_04_03_4,SNR_04_03,46,30
2016-04-01,00006,RTR_SNR_04_03_4,SNR_04_03,50,18
2016-07-01,00006,RTR_SNR_04_03_4,SNR_04_03,15,48
2016-10-01,00006,RTR_SNR_05_12_1,SNR_05_12,12,50
2017-01-01,00006,RTR_SNR_05_12_1,SNR_05_12,48,16
2017-04-01,00006,RTR_SNR_05_12_1,SNR_05_12,50,9
2017-07-01,00006,RTR_SNR_05_12_1,SNR_05_12,38,6
2012-10-01,00007,RTR_SNR_01_06_3,SNR_01_06,41,16
2013-01-01,00007,RTR_SNR_01_06_3,SNR_01_06,36,7
2013-04-01,00007,RTR_SNR_01_06_3,SNR_01_06,14,7
2013-07-01,00007,RTR_SNR_01_06_3,SNR_01_06,50,41
2013-10-01,00007,RTR_SNR_02_25_5,SNR_02_25,41,5
2014-01-01,00007,RTR_SNR_02_25_5,SNR_02_25,50,40
2014-04-01,00007,RTR_SNR_02_25_5,SNR_02_25,44,32
2014-07-01,00007,RTR_SNR_02_25_5,SNR_02_25,15,42
2014-10-01,00007,RTR_SNR_03_17_5,SNR_03_17,34,50
2015-01-01,00007,RTR_SNR_03_17_5,SNR_03_17,48,15
2015-04-01,00007,RTR_SNR_03_17_5,SNR_03_17,16,45
2015-07-01,00007,RTR_SNR_03_17_5,SNR_03_17,12,30
2015-10-01,00007,RTR_SNR_04_26_3,SNR_04_26,50,50
2016-01-01,00007,RTR_SNR_04_26_3,SNR_04_26,8,31
2016-04-01,00007,RTR_SNR_04_26_3,SNR_04_26,29,18
2016-07-01,00007,RTR_SNR_04_26_3,SNR_04_26,4,23
2016-10-01,00007,RTR_SNR_05_25_5,SNR_05_25,22,40
2017-01-01,00007,RTR_SNR_05_25_5,SNR_05_25,34,26
2017-04-01,00007,RTR_SNR_05_25_5,SNR_05_25,23,36
2017-07-01,00007,RTR_SNR_05_25_5,SNR_05_25,5,19
2012-10-01,00008,RTR_SNR_01_01_4,SNR_01_01,5,30
2013-01-01,00008,RTR_SNR_01_01_4,SNR_01_01,32,27
2013-04-01,00008,RTR_SNR_01_01_4,SNR_01_01,10,24
2013-07-01,00008,RTR_SNR_01_01_4,SNR_01_01,50,21
2013-10-01,00008,RTR_SNR_02_18_1,SNR_02_18,35,2
2014-01-01,00008,RTR_SNR_02_18_1,SNR_02_18,14,50
2014-04-01,00008,RTR_SNR_02_18_1,SNR_02_18,50,50
2014-07-01,00008,RTR_SNR_02_18_1,SNR_02_18,50,7
2014-10-01,00008,RTR_SNR_03_15_4,SNR_03_15,44,1
2015-01-01,00008,RTR_SNR_03_15_4,SNR_03_15,19,28
2015-04-01,00008,RTR_SNR_03_15_4,SNR_03_15,50,30
2015-07-01,00008,RTR_SNR_03_15_4,SNR_03_15,50,50
2015-10-01,00008,RTR_SNR_04_03_1,SNR_04_03,19,26
2016-01-01,00008,RTR_SNR_04_03_1,SNR_04_03,31,11
2016-04-01,00008,RTR_SNR_04_03_1,SNR_04_03,50,50
2016-07-01,00008,RTR_SNR_04_03_1,SNR_04_03,4,50
2016-10-01,00008,RTR_SNR_05_20_1,SNR_05_20,8,8
2017-01-01,00008,RTR_SNR_05_20_1,SNR_05_20,50,45
2017-04-01,00008,RTR_SNR_05_20_1,SNR_05_20,7,43
2017-07-01,00008,RTR_SNR_05_20_1,SNR_05_20,44,50
2012-10-01,00009,RTR_SNR_01_11_4,SNR_01_11,50,13
2013-01-01,00009,RTR_SNR_01_11_4,SNR_01_11,7,48
2013-04-01,00009,RTR_SNR_01_11_4,SNR_01_11,25,32
2013-07-01,00009,RTR_SNR_01_11_4,SNR_01_11,34,5
2013-10-01,00009,RTR_SNR_02_12_4,SNR_02_12,45,48
2014-01-01,00009,RTR_SNR_02_12_4,SNR_02_12,2,47
2014-04-01,00009,RTR_SNR_02_12_4,SNR_02_12,34,34
2014-07-01,00009,RTR_SNR_02_12_4,SNR_02_12,35,6
2014-10-01,00009,RTR_SNR_03_07_3,SNR_03_07,48,50
2015-01-01,00009,RTR_SNR_03_07_3,SNR_03_07,2,45
2015-04-01,00009,RTR_SNR_03_07_3,SNR_03_07,44,7
2015-07-01,00009,RTR_SNR_03_07_3,SNR_03_07,50,9
2015-10-01,00009,RTR_SNR_04_09_5,SNR_04_09,15,32
2016-01-01,00009,RTR_SNR_04_09_5,SNR_04_09,38,40
2016-04-01,00009,RTR_SNR_04_09_5,SNR_04_09,25,50
2016-07-01,00009,RTR_SNR_04_09_5,SNR_04_09,3,6
2016-10-01,00009,RTR_SNR_05_01_5,SNR_05_01,10,5
2017-01-01,00009,RTR_SNR_05_01_5,SNR_05_01,47,27
2017-04-01,00009,RTR_SNR_05_01_5,SNR_05_01,14,38
2017-07-01,00009,RTR_SNR_05_01_5,SNR_05_01,34,26
2012-10-01,00010,RTR_SNR_01_07_1,SNR_01_07,37,50
2013-01-01,00010,RTR_SNR_01_07_1,SNR_01_07,44,31
2013-04-01,00010,RTR_SNR_01_07_1,SNR_01_07,50,41
2013-07-01,00010,RTR_SNR_01_07_1,SNR_01_07,29,30
2013-10-01,00010,RTR_SNR_02_15_1,SNR_02_15,21,50
2014-01-01,00010,RTR_SNR_02_15_1,SNR_02_15,50,27
2014-04-01,00010,RTR_SNR_02_15_1,SNR_02_15,27,50
2014-07-01,00010,RTR_SNR_02_15_1,SNR_02_15,50,23
2014-10-01,00010,RTR_SNR_03_07_5,SNR_03_07,50,13
2015-01-01,00010,RTR_SNR_03_07_5,SNR_03_07,30,28
2015-04-01,00010,RTR_SNR_03_07_5,SNR_03_07,45,5
2015-07-01,00010,RTR_SNR_03_07_5,SNR_03_07,49,46
2015-10-01,00010,RTR_SNR_04_29_3,SNR_04_29,50,43
2016-01-01,00010,RTR_SNR_04_29_3,SNR_04_29,4,21
2016-04-01,00010,RTR_SNR_04_29_3,SNR_04_29,50,50
2016-07-01,00010,RTR_SNR_04_29_3,SNR_04_29,50,50
2016-10-01,00010,RTR_SNR_05_10_5,SNR_05_10,17,12
2017-01-01,00010,RTR_SNR_05_10_5,SNR_05_10,26,7
2017-04-01,00010,RTR_SNR_05_10_5,SNR_05_10,46,41
2017-07-01,00010,RTR_SNR_05_10_5,SNR_05_10,34,50
2012-10-01,00011,RTR_SNR_01_27_1,SNR_01_27,29,14
2013-01-01,00011,RTR_SNR_01_27_1,SNR_01_27,1,50
2013-04-01,00011,RTR_SNR_01_27_1,SNR_01_27,15,44
2013-07-01,00011,RTR_SNR_01_27_1,SNR_01_27,41,45
2013-10-01,00011,RTR_SNR_02_12_3,SNR_02_12,9,12
2014-01-01,00011,RTR_SNR_02_12_3,SNR_02_12,43,23
2014-04-01,00011,RTR_SNR_02_12_3,SNR_02_12,50,50
2014-07-01,00011,RTR_SNR_02_12_3,SNR_02_12,37,5
2014-10-01,00011,RTR_SNR_03_25_3,SNR_03_25,6,5
2015-01-01,00011,RTR_SNR_03_25_3,SNR_03_25,21,37
2015-04-01,00011,RTR_SNR_03_25_3,SNR_03_25,39,39
2015-07-01,00011,RTR_SNR_03_25_3,SNR_03_25,22,6
2015-10-01,00011,RTR_SNR_04_16_5,SNR_04_16,23,15
2016-01-01,00011,RTR_SNR_04_16_5,SNR_04_16,15,40
2016-04-01,00011,RTR_SNR_04_16_5,SNR_04_16,34,8
2016-07-01,00011,RTR_SNR_04_16_5,SNR_04_16,14,42
2016-10-01,00011,RTR_SNR_05_07_1,SNR_05_07,35,29
2017-01-01,00011,RTR_SNR_05_07_1,SNR_05_07,50,34
2017-04-01,00011,RTR_SNR_05_07_1,SNR_05_07,8,6
2017-07-01,00011,RTR_SNR_05_07_1,SNR_05_07,4,30
2012-10-01,00012,RTR_SNR_01_06_4,SNR_01_06,50,50
2013-01-01,00012,RTR_SNR_01_06_4,SNR_01_06,21,23
2013-04-01,00012,RTR_SNR_01_06_4,SNR_01_06,26,19
2013-07-01,00012,RTR_SNR_01_06_4,SNR_01_06,8,26
2013-10-01,00012,RTR_SNR_02_24_4,SNR_02_24,8,40
2014-01-01,00012,RTR_SNR_02_24_4,SNR_02_24,17,18
2014-04-01,00012,RTR_SNR_02_24_4,SNR_02_24,15,50
2014-07-01,00012,RTR_SNR_02_24_4,SNR_02_24,6,17
2014-10-01,00012,RTR_SNR_03_07_1,SNR_03_07,46,50
2015-01-01,00012,RTR_SNR_03_07_1,SNR_03_07,31,35
2015-04-01,00012,RTR_SNR_03_07_1,SNR_03_07,43,50
2015-07-01,00012,RTR_SNR_03_07_1,SNR_03_07,49,43
2015-10-01,00012,RTR_SNR_04_20_4,SNR_04_20,13,41
2016-01-01,00012,RTR_SNR_04_20_4,SNR_04_20,50,41
2016-04-01,00012,RTR_SNR_04_20_4,SNR_04_20,26,7
2016-07-01,00012,RTR_SNR_04_20_4,SNR_04_20,50,14
2016-10-01,00012,RTR_SNR_05_14_2,SNR_05_14,21,50
2017-01-01,00012,RTR_SNR_05_14_2,SNR_05_14,29,6
2017-04-01,00012,RTR_SNR_05_14_2,SNR_05_14,50,9
2017-07-01,00012,RTR_SNR_05_14_2,SNR_05_14,14,33
2012-10-01,00013,RTR_SNR_01_10_2,SNR_01_10,50,28
2013-01-01,00013,RTR_SNR_01_10_2,SNR_01_10,22,47
2013-04-01,00013,RTR_SNR_01_10_2,SNR_01_10,49,32
2013-07-01,00013,RTR_SNR_01_10_2,SNR_01_10,25,2
2013-10-01,00013,RTR_SNR_02_16_1,SNR_02_16,35,25
2014-01-01,00013,RTR_SNR_02_16_1,SNR_02_16,50,50
2014-04-01,00013,RTR_SNR_02_16_1,SNR_02_16,50,24
2014-07-01,00013,RTR_SNR_02_16_1,SNR_02_16,50,34
2014-10-01,00013,RTR_SNR_03_19_4,SNR_03_19,50,50
2015-01-01,00013,RTR_SNR_03_19_4,SNR_03_19,50,50
2015-04-01,00013,RTR_SNR_03_19_4,SNR_03_19,26,36
2015-07-01,00013,RTR_SNR_03_19_4,SNR_03_19,26,50
2015-10-01,00013,RTR_SNR_04_08_3,SNR_04_08,49,32
2016-01-01,00013,RTR_SNR_04_08_3,SNR_04_08,17,1
2016-04-01,00013,RTR_SNR_04_08_3,SNR_04_08,32,40
2016-07-01,00013,RTR_SNR_04_08_3,SNR_04_08,9,41
2016-10-01,00013,RTR_SNR_05_06_3,SNR_05_06,18,50
2017-01-01,00013,RTR_SNR_05_06_3,SNR_05_06,17,19
2017-04-01,00013,RTR_SNR_05_06_3,SNR_05_06,50,22
2017-07-01,00013,RTR_SNR_05_06_3,SNR_05_06,26,33
2012-10-01,00014,RTR_SNR_01_23_1,SNR_01_23,40,2
2013-01-01,00014,RTR_SNR_01_23_1,SNR_01_23,49,47
2013-04-01,00014,RTR_SNR_01_23_1,SNR_01_23,11,9
2013-07-01,00014,RTR_SNR_01_23_1,SNR_01_23,33,5
2013-10-01,00014,RTR_SNR_02_03_1,SNR_02_03,2,18
2014-01-01,00014,RTR_SNR_02_03_1,SNR_02_03,29,49
2014-04-01,00014,RTR_SNR_02_03_1,SNR_02_03,32,9
2014-07-01,00014,RTR_SNR_02_03_1,SNR_02_03,12,50
2014-10-01,00014,RTR_SNR_03_29_3,SNR_03_29,27,3
2015-01-01,00014,RTR_SNR_03_29_3,SNR_03_29,31,50
2015-04-01,00014,RTR_SNR_03_29_3,SNR_03_29,16,17
2015-07-01,00014,RTR_SNR_03_29_3,SNR_03_29,11,37
2015-10-01,00014,RTR_SNR_04_02_3,SNR_04_02,15,25
2016-01-01,00014,RTR_SNR_04_02_3,SNR_04_02,44,3
2016-04-01,00014,RTR_SNR_04_02_3,SNR_04_02,17,50
2016-07-01,00014,RTR_SNR_04_02_3,SNR_04_02,47,38
2016-10-01,00014,RTR_SNR_05_14_1,SNR_05_14,29,25
2017-01-01,00014,RTR_SNR_05_14_1,SNR_05_14,50,42
2017-04-01,00014,RTR_SNR_05_14_1,SNR_05_14,27,29
2017-07-01,00014,RTR_SNR_05_14_1,SNR_05_14,33,50
2012-10-01,00015,RTR_SNR_01_11_2,SNR_01_11,41,12
2013-01-01,00015,RTR_SNR_01_11_2,SNR_01_11,5,11
2013-04-01,00015,RTR_SNR_01_11_2,SNR_01_11,12,44
2013-07-01,00015,RTR_SNR_01_11_2,SNR_01_11,17,50
2013-10-01,00015,RTR_SNR_02_18_3,SNR_02_18,23,6
2014-01-01,00015,RTR_SNR_02_18_3,SNR_02_18,32,50
2014-04-01,00015,RTR_SNR_02_18_3,SNR_02_18,16,34
2014-07-01,00015,RTR_SNR_02_18_3,SNR_02_18,6,28
2014-10-01,00015,RTR_SNR_03_16_1,SNR_03_16,50,26
2015-01-01,00015,RTR_SNR_03_16_1,SNR_03_16,17,10
2015-04-01,00015,RTR_SNR_03_16_1,SNR_03_16,5,33
2015-07-01,00015,RTR_SNR_03_16_1,SNR_03_16,8,28
2015-10-01,00015,RTR_SNR_04_02_1,SNR_04_02,30,29
2016-01-01,00015,RTR_SNR_04_02_1,SNR_04_02,9,27
2016-04-01,00015,RTR_SNR_04_02_1,SNR_04_02,10,50
2016-07-01,00015,RTR_SNR_04_02_1,SNR_04_02,20,30
2016-10-01,00015,RTR_SNR_05_13_2,SNR_05_13,48,48
2017-01-01,00015,RTR_SNR_05_13_2,SNR_05_13,50,50
2017-04-01,00015,RTR_SNR_05_13_2,SNR_05_13,50,7
2017-07-01,00015,RTR_SNR_05_13_2,SNR_05_13,17,5
2012-10-01,00016,RTR_SNR_01_28_2,SNR_01_28,19,28
2013-01-01,00016,RTR_SNR_01_28_2,SNR_01_28,50,43
2013-04-01,00016,RTR_SNR_01_28_2,SNR_01_28,12,43
2013-07-01,00016,RTR_SNR_01_28_2,SNR_01_28,50,43
2013-10-01,00016,RTR_SNR_02_25_1,SNR_02_25,18,19
2014-01-01,00016,RTR_SNR_02_25_1,SNR_02_25,50,46
2014-04-01,00016,RTR_SNR_02_25_1,SNR_02_25,43,27
2014-07-01,00016,RTR_SNR_02_25_1,SNR_02_25,6,5
2014-10-01,00016,RTR_SNR_03_17_4,SNR_03_17,34,50
2015-01-01,00016,RTR_SNR_03_17_4,SNR_03_17,13,45
2015-04-01,00016,RTR_SNR_03_17_4,SNR_03_17,50,14
2015-07-01,00016,RTR_SNR_03_17_4,SNR_03_17,38,10
2015-10-01,00016,RTR_SNR_04_27_3,SNR_04_27,50,49
2016-01-01,00016,RTR_SNR_04_27_3,SNR_04_27,36,42
2016-04-01,00016,RTR_SNR_04_27_3,SNR_04_27,34,11
2016-07-01,00016,RTR_SNR_04_27_3,SNR_04_27,26,50
2016-10-01,00016,RTR_SNR_05_28_3,SNR_05_28,50,43
2017-01-01,00016,RTR_SNR_05_28_3,SNR_05_28,26,50
2017-04-01,00016,RTR_SNR_05_28_3,SNR_05_28,37,3
2017-07-01,00016,RTR_SNR_05_28_3,SNR_05_28,40,6
2012-10-01,00017,RTR_SNR_01_19_3,SNR_01_19,12,20
2013-01-01,00017,RTR_SNR_01_19_3,SNR_01_19,18,1
2013-04-01,00017,RTR_SNR_01_19_3,SNR_01_19,45,49
2013-07-01,00017,RTR_SNR_01_19_3,SNR_01_19,15,3
2013-10-01,00017,RTR_SNR_02_02_5,SNR_02_02,46,32
2014-01-01,00017,RTR_SNR_02_02_5,SNR_02_02,31,48
2014-04-01,00017,RTR_SNR_02_02_5,SNR_02_02,50,16
2014-07-01,00017,RTR_SNR_02_02_5,SNR_02_02,16,34
2014-10-01,00017,RTR_SNR_03_16_2,SNR_03_16,6,50
2015-01-01,00017,RTR_SNR_03_16_2,SNR_03_16,16,23
2015-04-01,00017,RTR_SNR_03_16_2,SNR_03_16,22,32
2015-07-01,00017,RTR_SNR_03_16_2,SNR_03_16,50,50
2015-10-01,00017,RTR_SNR_04_15_5,SNR_04_15,47,33
2016-01-01,00017,RTR_SNR_04_15_5,SNR_04_15,22,19
2016-04-01,00017,RTR_SNR_04_15_5,SNR_04_15,3,44
2016-07-01,00017,RTR_SNR_04_15_5,SNR_04_15,43,45
2016-10-01,00017,RTR_SNR_05_03_2,SNR_05_03,50,50
2017-01-01,00017,RTR_SNR_05_03_2,SNR_05_03,50,13
2017-04-01,00017,RTR_SNR_05_03_2,SNR_05_03,50,18
2017-07-01,00017,RTR_SNR_05_03_2,SNR_05_03,50,9
2012-10-01,00018,RTR_SNR_01_19_2,SNR_01_19,16,32
2013-01-01,00018,RTR_SNR_01_19_2,SNR_01_19,5,30
2013-04-01,00018,RTR_SNR_01_19_2,SNR_01_19,26,24
2013-07-01,00018,RTR_SNR_01_19_2,SNR_01_19,15,50
2013-10-01,00018,RTR_SNR_02_15_4,SNR_02_15,49,31
2014-01-01,00018,RTR_SNR_02_15_4,SNR_02_15,50,50
2014-04-01,00018,RTR_SNR_02_15_4,SNR_02_15,11,43
2014-07-01,00018,RTR_SNR_02_15_4,SNR_02_15,21,5
2014-10-01,00018,RTR_SNR_03_01_3,SNR_03_01,38,17
2015-01-01,00018,RTR_SNR_03_01_3,SNR_03_01,48,10
2015-04-01,00018,RTR_SNR_03_01_3,SNR_03_01,5,17
2015-07-01,00018,RTR_SNR_03_01_3,SNR_03_01,3,27
2015-10-01,00018,RTR_SNR_04_10_3,SNR_04_10,34,22
2016-01-01,00018,RTR_SNR_04_10_3,SNR_04_10,20,30
2016-04-01,00018,RTR_SNR_04_10_3,SNR_04_10,24,13
2016-07-01,00018,RTR_SNR_04_10_3,SNR_04_10,49,50
2016-10-01,00018,RTR_SNR_05_05_1,SNR_05_05,25,15
2017-01-01,00018,RTR_SNR_05_05_1,SNR_05_05,37,1
2017-04-01,00018,RTR_SNR_05_05_1,SNR_05_05,12,35
2017-07-01,00018,RTR_SNR_05_05_1,SNR_05_05,50,50
2012-10-01,00019,RTR_SNR_01_23_2,SNR_01_23,15,33
2013-01-01,00019,RTR_SNR_01_23_2,SNR_01_23,11,22
2013-04-01,00019,RTR_SNR_01_23_2,SNR_01_23,45,18
2013-07-01,00019,RTR_SNR_01_23_2,SNR_01_23,17,39
2013-10-01,00019,RTR_SNR_02_23_2,SNR_02_23,24,20
2014-01-01,00019,RTR_SNR_02_23_2,SNR_02_23,11,29
2014-04-01,00019,RTR_SNR_02_23_2,SNR_02_23,3,37
2014-07-01,00019,RTR_SNR_02_23_2,SNR_02_23,4,50
2014-10-01,00019,RTR_SNR_03_28_1,SNR_03_28,50,44
2015-01-01,00019,RTR_SNR_03_28_1,SNR_03_28,37,32
2015-04-01,00019,RTR_SNR_03_28_1,SNR_03_28,50,50
2015-07-01,00019,RTR_SNR_03_28_1,SNR_03_28,20,50
2015-10-01,00019,RTR_SNR_04_26_3,SNR_04_26,13,49
2016-01-01,00019,RTR_SNR_04_26_3,SNR_04_26,50,30
2016-04-01,00019,RTR_SNR_04_26_3,SNR_04_26,50,36
2016-07-01,00019,RTR_SNR_04_26_3,SNR_04_26,19,50
2016-10-01,00019,RTR_SNR_05_07_1,SNR_05_07,11,50
2017-01-01,00019,RTR_SNR_05_07_1,SNR_05_07,50,43
2017-04-01,00019,RTR_SNR_05_07_1,SNR_05_07,50,40
2017-07-01,00019,RTR_SNR_05_07_1,SNR_05_07,4,22
2012-10-01,00020,RTR_SNR_01_19_3,SNR_01_19,17,48
2013-01-01,00020,RTR_SNR_01_19_3,SNR_01_19,21,15
2013-04-01,00020,RTR_SNR_01_19_3,SNR_01_19,47,38
2013-07-01,00020,RTR_SNR_01_19_3,SNR_01_19,34,3
2013-10-01,00020,RTR_SNR_02_17_1,SNR_02_17,29,50
2014-01-01,00020,RTR_SNR_02_17_1,SNR_02_17,18,43
